시점,항목,금정구,기장군,남구,동구,동래구,부산진구,북구,사상구,사하구,서구,수영구,연제구,영도구,해운대구
2020.03,소계,8326,5342,10765,4372,8632,17356,8703,10262,11804,6093,6718,6801,6377,12703
2020.03,경형,378,281,494,242,423,554,368,554,494,203,306,273,207,569
2020.03,소형,2307,1599,2775,1001,2399,5983,2416,3012,2935,1690,1892,1679,1584,3299
2020.03,중형,5248,3117,6834,2912,5288,9950,5432,6291,7735,3975,4080,4387,4297,7887
2020.03,대형,393,345,662,217,522,869,487,405,640,225,440,462,289,948
2020.06,소계,8406,5482,10870,4445,8751,17557,8808,10396,11992,6172,6819,6862,6419,12893
2020.06,경형,391,310,522,269,450,632,442,609,552,232,339,290,230,613
2020.06,소형,2281,1604,2743,1005,2395,5951,2413,2998,2901,1687,1882,1688,1575,3286
2020.06,중형,5321,3177,6910,2933,5350,10059,5447,6361,7863,4009,4130,4389,4323,7992
2020.06,대형,413,391,695,238,556,915,506,428,676,244,468,495,291,1002
2020.09,소계,8471,5623,10870,4448,8807,17683,8874,10452,12103,6185,6952,6981,6448,12980
2020.09,경형,396,309,522,242,449,621,435,601,555,231,348,287,228,590
2020.09,소형,2285,1608,2705,1003,2374,5929,2408,2982,2892,1667,1890,1673,1582,3273
2020.09,중형,5373,3293,6940,2967,5408,10180,5515,6416,7946,4036,4213,4500,4361,8100
2020.09,대형,417,413,703,236,576,953,516,453,710,251,501,521,277,1017
2020.12,소계,8409,5680,10903,4445,8830,17744,8838,10474,12068,6261,6977,6951,6439,13056
2020.12,경형,383,298,512,239,439,619,423,605,544,236,332,277,221,587
2020.12,소형,2279,1634,2674,997,2356,5931,2393,2960,2878,1669,1893,1662,1572,3260
2020.12,중형,5319,3320,6987,2968,5444,10186,5497,6449,7928,4101,4238,4471,4373,8133
2020.12,대형,428,428,730,241,591,1008,525,460,718,255,514,541,273,1076
2021.03,소계,8424,5753,10888,4429,8860,17877,8878,10490,12069,6254,6996,6940,6421,13049
2021.03,경형,385,296,505,234,425,633,419,589,529,225,324,270,211,573
2021.03,소형,2262,1640,2668,988,2353,5923,2379,2949,2863,1670,1888,1664,1571,3248
2021.03,중형,5345,3392,6968,2961,5459,10267,5546,6471,7946,4089,4278,4456,4366,8154
2021.03,대형,432,425,747,246,623,1054,534,481,731,270,506,550,273,1074
2021.06,소계,8499,5844,10995,4468,8933,18019,8970,10598,12264,6272,7077,6980,6485,13187
2021.06,경형,392,296,510,225,428,623,425,593,536,224,322,272,204,567
2021.06,소형,2284,1659,2684,1000,2368,5944,2430,2977,2924,1685,1904,1673,1599,3306
2021.06,중형,5370,3428,7017,2991,5489,10337,5557,6515,8032,4090,4325,4456,4394,8221
2021.06,대형,453,461,784,252,648,1115,558,513,772,273,526,579,288,1093
2021.09,소계,8247,5831,10673,4544,9050,15508,9181,10776,12430,6392,6595,7044,6586,13500
2021.09,경형,398,293,488,224,425,644,442,607,550,230,332,281,212,593
2021.09,소형,2068,1579,2448,1017,2409,3913,2473,3027,2984,1719,1486,1684,1621,3351
2021.09,중형,5284,3468,6913,3021,5557,9785,5668,6584,8088,4148,4203,4462,4467,8382
2021.09,대형,497,491,824,282,659,1166,598,558,808,295,574,617,286,1174
2021.12,소계,8147,5568,10617,4477,8606,15324,8407,10644,12350,5975,6603,6856,6341,12605
2021.12,경형,385,291,495,223,415,627,448,605,529,220,331,277,208,584
2021.12,소형,2005,1403,2388,954,2103,3808,1991,3007,2921,1481,1448,1562,1455,2913
2021.12,중형,5238,3351,6900,3014,5400,9717,5344,6467,8094,3972,4216,4373,4377,7916
2021.12,대형,519,523,834,286,688,1172,624,565,806,302,608,644,301,1192
2022.03,소계,8123,5611,10585,4492,8763,15511,8509,9307,12461,5987,6613,6915,6341,12661
2022.03,경형,377,288,481,217,420,618,424,599,527,214,324,280,203,579
2022.03,소형,1999,1406,2377,955,2089,3828,2012,2217,2916,1476,1434,1569,1444,2913
2022.03,중형,5212,3393,6866,3020,5542,9826,5427,5918,8160,3993,4222,4418,4374,7946
2022.03,대형,535,524,861,300,712,1239,646,573,858,304,633,648,320,1223
2022.06,소계,8203,5729,10699,4496,8862,15648,8665,9322,12590,6013,6728,6964,6364,12671
2022.06,경형,372,293,464,199,408,601,412,565,533,219,319,266,213,542
2022.06,소형,2051,1436,2387,959,2084,3866,2039,2240,2933,1476,1448,1580,1465,2938
2022.06,중형,5211,3453,6956,3033,5600,9891,5541,5930,8204,3999,4306,4448,4368,7955
2022.06,대형,569,547,892,305,770,1290,673,587,920,319,655,670,318,1236
2022.09,소계,8219,5816,10743,4511,8989,15892,8756,9402,12544,6081,6828,6985,6431,12817
2022.09,경형,361,298,448,199,414,602,416,573,536,213,312,268,222,544
2022.09,소형,2065,1459,2394,966,2108,3925,2060,2259,2881,1491,1461,1587,1475,2951
2022.09,중형,5210,3484,6987,3042,5636,10014,5562,5977,8190,4041,4368,4442,4408,8011
2022.09,대형,583,575,914,304,831,1351,718,593,937,336,687,688,326,1311
2022.12,소계,8180,5874,10730,4493,8979,16020,8756,9420,12558,6079,6790,6986,6428,12802
2022.12,경형,353,315,451,188,419,629,417,569,540,210,310,278,224,543
2022.12,소형,2076,1470,2400,966,2130,3935,2080,2282,2882,1489,1475,1591,1482,2943
2022.12,중형,5181,3470,6940,3021,5571,10063,5537,5975,8157,4042,4323,4427,4387,7987
2022.12,대형,570,619,939,318,859,1393,722,594,979,338,682,690,335,1329
2023.01,소계,8175,5886,10764,4478,8976,16046,8741,9444,12553,6068,6751,7002,6421,12791
2023.01,경형,350,311,451,185,404,633,414,576,528,207,307,279,221,544
2023.01,소형,2072,1473,2408,963,2133,3922,2075,2276,2888,1486,1472,1591,1482,2926
2023.01,중형,5178,3475,6964,3009,5584,10094,5532,5989,8168,4033,4297,4451,4374,7988
2023.01,대형,575,627,941,321,855,1397,720,603,969,342,675,681,344,1333
