"시점",부산광역시,중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군
"2020.03",1505897,23305,52792,45356,54837,167761,113266,117299,120496,169141,138864,107184,54611,91106,82334,96859,70686
"2020.06",1513956,23456,53248,45873,54866,169203,114058,117429,120694,169825,139108,107358,55158,91412,82989,97113,72166
"2020.09",1523122,23682,53359,45985,54896,171008,114679,117696,120703,170518,139047,107383,56828,92418,83906,97357,73657
"2020.12",1530431,23847,53853,46003,54903,173263,114987,117876,120668,171376,138854,107561,58141,92583,84311,97556,74649
"2021.03",1527830,23951,52876,45786,54048,172683,114936,117391,120370,171352,138478,107184,58879,92104,84569,97727,75496
"2021.06",1533514,23583,53133,45911,54568,172864,115173,117410,122023,171791,138589,107165,59954,92165,84948,98179,76058
"2021.09",1540342,23878,53097,46046,54701,173279,115356,117793,122950,172237,139174,107990,60878,92451,85573,98505,76434
"2021.12",1544663,23925,52960,46362,54659,173353,115718,117821,123316,172397,139604,108070,61502,93606,85896,98621,76853
"2022.03",1551767,24218,52895,46938,54518,173573,119112,118153,123286,172227,140594,107916,62135,94091,86445,98651,77015
"2022.06",1556938,24304,53109,47052,54700,174624,119772,118480,123579,171960,141003,107827,62674,94167,86992,98741,77954
"2022.09",1555449,24107,53621,46553,54474,175448,119696,118179,123761,170998,140869,107535,62645,93840,87065,98256,78402
"2022.12",1555867,23960,53626,46349,54342,178049,119503,117601,123569,170435,140778,106950,62426,93557,87361,98625,78736
